calendar_year,detention_center_name,detention_center_state,detention_center_type,latitude,longitude,deaths_n
2022,Denver Contract Detention Facility,CO,Private,39.766325,-104.864502,1
2022,Florence Service Processing Center,AZ,Private,33.06496,-111.378505,1
2022,Torrance County Detention Facility,NM,Private,34.767387,-106.018496,1
2023,Karnes County Immigration Processing Center,TX,Private,28.884651,-97.915298,1
2023,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,1
2023,Lasalle Correctional Center,LA,Private,31.85131,-92.28482,1
2023,Moshannon Valley Processing Center,PA,Private,40.920042,-78.240515,1
2023,Otay Mesa Detention Center,CA,Private,32.576525,-116.915478,1
2023,Port Isabel Service Processing Center,TX,Private,26.157941,-97.35047,1
2023,Stewart Detention Center,GA,Private,32.036676,-84.771746,1
2024,Calhoun County Correctional Center,MI,Public,42.316674,-85.175892,1
2024,El Valle Detention Facility,TX,Private,26.480407,-97.767334,1
2024,Folkston ICE Processing Center,GA,Private,30.87638,-81.977941,1
2024,Henderson County Jail,TX,Public,32.212801,-95.855713,1
2024,Joe Corley Processing Center,TX,Private,30.34444,-95.46021,1
2024,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,1
2024,Northwest ICE Processing Center,WA,Private,47.25021,-122.422663,2
2024,Otero County Processing Center,NM,Private,32.08042,-106.28262,1
2024,Stewart Detention Center,GA,Private,32.036676,-84.771746,1
2024,Winn Correctional Center,LA,Private,31.849565,-92.801514,1
2025,Adams County Detention Center,MS,Private,31.569175,-91.230469,1
2025,Adelanto ICE Processing Center,CA,Private,34.557729,-117.441865,2
2025,Broadview ICE Facility,IL,Private,41.868522,-87.86562,1
2025,Camp East Montana,TX,Private,31.812729,-106.298333,1
2025,Dallas Field Office Hold Room,TX,Public,32.823622,-96.872156,2
2025,Delaney Hall Detention Facility,NJ,Private,40.717437,-74.127789,1
2025,El Paso Service Processing Center,TX,Private,31.796447,-106.369651,1
2025,Eloy Detention Center,AZ,Private,32.817677,-111.51927,1
2025,FDC Miami,FL,Public,25.778491,-80.193199,1
2025,Florence Service Processing Center,AZ,Private,33.06496,-111.378505,1
2025,Florence Staging Facility,AZ,Private,33.06496,-111.378505,1
2025,Imperial Regional Detention Facility,CA,Private,32.690811,-115.397861,1
2025,Karnes County Correctional Center,TX,Private,28.883485,-97.911848,1
2025,Krome North Service Processing Center,FL,Private,25.76032,-80.496826,4
2025,Montgomery Processing Center,TX,Private,30.34444,-95.44922,1
2025,Moshannon Valley Processing Center,PA,Private,40.920042,-78.240515,2
2025,Nassau County Correctional Center,NY,Public,40.727807,-73.556165,1
2025,North Lake Correctional Facility,MI,Private,43.928658,-85.839408,1
2025,Phelps County Jail,MO,Public,37.945714,-91.775053,1
2025,Prairieland Detention Facility,TX,Private,32.420785,-97.196902,1
2025,Sainte Genevieve County Jail,MO,Public,37.965948,-90.055775,1
2025,South Texas ICE Processing Center,TX,Private,28.894651,-99.121943,1
2025,Stewart Detention Center,GA,Private,32.036676,-84.771746,2
2025,NA,NA,NA,NA,NA,1
2026,Adelanto ICE Processing Center,CA,Private,34.557729,-117.441865,2
2026,Camp East Montana,TX,Private,31.812729,-106.298333,2
2026,Dallas Field Office Hold Room,TX,Public,32.823622,-96.872156,1
2026,FDC Philadelphia,PA,Public,39.952909,-75.151925,1
2026,Florence Staging Facility,AZ,Private,33.06496,-111.378505,1
2026,Glades County Detention Center,FL,Public,26.838714,-81.124018,1
2026,Imperial Regional Detention Facility,CA,Private,32.690811,-115.397861,1
2026,Joe Corley Processing Center,TX,Private,30.34444,-95.46021,1
2026,Larkin Behavioral Health Center,FL,Private,26.021177,-80.180662,1
2026,Louisiana ICE Processing Center,LA,Private,30.941263,-91.568381,1
2026,Miami Correctional Facility,IN,Public,40.644997,-86.132978,2
2026,Robert A. Deyton Detention Facility,GA,Private,33.440609,-84.320068,1
2026,Winn Correctional Center,LA,Private,31.849565,-92.801514,1
2026,NA,NA,NA,NA,NA,1
